Risk_Free_Rate,Chooser_Price
0.0155,78.225665148676
0.0175,78.51563500180892
0.0195,78.80516453841368
0.0215,79.0942509420399
0.0235,79.38289149084446
0.025500000000000002,79.6710835555008
0.0275,79.95882459714566
0.0295,80.24611216536388
0.0315,80.53294389621043
0.0335,80.81931751026863
0.035500000000000004,81.10523081074572
0.0375,81.39068168160341
0.0395,81.67566808572451
0.0415,81.96018806311409
0.0435,82.24423972913573
0.0455,82.52782127278121
0.0475,82.81093095497427
0.0495,83.09356710690746
0.051500000000000004,83.37572812841117
0.0535,83.65741248635538
0.0555,83.93861871308289
0.0575,84.21934540487368
0.0595,84.49959122043965
0.0615,84.7793548794508
0.0635,85.05863516108938
0.0655,85.33743090263495
0.0675,85.61574099807711
0.0695,85.89356439675716
0.07150000000000001,86.17090010203735
0.07350000000000001,86.44774716999763
0.0755,86.72410470815908
