Spot,Volatility,Chooser_Price
105.0,0.1,40.74745999894208
106.5,0.1,39.28294541126644
108.0,0.1,37.81901498019329
109.5,0.1,36.355973821211116
111.0,0.1,34.89425597210494
112.5,0.1,33.43446595052917
114.0,0.1,31.97742965288376
115.5,0.1,30.524255913917884
117.0,0.1,29.076410074677437
118.5,0.1,27.63580066507809
120.0,0.1,26.204879545377352
121.5,0.1,24.78675430164431
123.0,0.1,23.38530916946568
124.5,0.1,22.005327285288203
126.0,0.1,20.65260296078791
127.5,0.1,19.334028616142223
129.0,0.1,18.05763795421156
130.5,0.1,16.832585980780436
132.0,0.1,15.669048491582078
133.5,0.1,14.578029125018064
135.0,0.1,13.571070820195542
136.5,0.1,12.659879572669087
138.0,0.1,11.85588015355975
139.5,0.1,11.169734007362823
141.0,0.1,10.610856974639141
142.5,0.1,10.18697736473538
144.0,0.1,9.903772575915712
145.5,0.1,9.764615189563656
147.0,0.1,9.77044836744224
148.5,0.1,9.91979717765054
150.0,0.1,10.208909134698713
151.5,0.1,10.632005600817141
153.0,0.1,11.181617155878902
154.5,0.1,11.848971368797686
156.0,0.1,12.624400688136568
157.5,0.1,13.497740923741189
159.0,0.1,14.458696117804994
160.5,0.1,15.497152415354856
162.0,0.1,16.60343076681767
163.5,0.1,17.76847502662341
165.0,0.1,18.983977613858496
166.5,0.1,20.24244902860017
168.0,0.1,21.537240092922907
169.5,0.1,22.862526938555106
171.0,0.1,24.2132687567876
172.5,0.1,25.585147483920295
174.0,0.1,26.974497241276058
175.5,0.1,28.378229765811962
177.0,0.1,29.793760475453553
178.5,0.1,31.218938362543792
180.0,0.1,32.65198168470125
181.5,0.1,34.091420457761146
183.0,0.1,35.536046045168746
184.5,0.1,36.984867653293925
186.0,0.1,38.43707524195288
187.5,0.1,39.89200820046543
189.0,0.1,41.349129081379644
190.5,0.1,42.80800169234002
192.0,0.1,44.26827289464454
193.5,0.1,45.72965752524904
195.0,0.1,47.19192593403031
105.0,0.11,40.75058174453474
106.5,0.11,39.28772336145786
108.0,0.11,37.826167706246736
109.5,0.11,36.36645866486064
111.0,0.11,34.90932156515798
112.5,0.11,33.45570878029912
114.0,0.11,32.00685322453683
115.5,0.11,30.56433034814443
117.0,0.11,29.13012880529292
118.5,0.11,27.706729125083154
120.0,0.11,26.29718836921082
121.5,0.11,24.905226907415646
123.0,0.11,23.53531121647912
124.5,0.11,22.19272429889557
126.0,0.11,20.883613351217477
127.5,0.11,19.61500319403333
129.0,0.11,18.394764186707206
130.5,0.11,17.231525229789856
132.0,0.11,16.134526096868207
133.5,0.11,15.113408511349114
135.0,0.11,14.17795155160667
136.5,0.11,13.337763342186955
138.0,0.11,12.601946663550157
139.5,0.11,11.978760226555785
141.0,0.11,11.475299252494844
142.5,0.11,11.097218341595678
144.0,0.11,10.848516451625692
145.5,0.11,10.731398559162677
